Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 HWC,"Smoking - Women - $75,000 or More",South Carolina,0,4.4,0,6.2,2.7,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - American Indian/Alaskan Native,South Carolina,0,,0,43,1.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Asian,South Carolina,0,,0,4.7,0,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Black,South Carolina,0,16.1,0,19.1,13.2,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - College Grad,South Carolina,13,6,-0.17,7.6,4.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Hawaiian/Pacific Islander,South Carolina,0,,0,30.2,0,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - High School Grad,South Carolina,25,28.2,0.37,32.7,23.7,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Hispanic,South Carolina,0,11.4,0,18,4.9,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Smoking - Women - Less Than $25,000",South Carolina,27,32.1,0.48,36.4,27.8,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Less than High School,South Carolina,0,39.8,0,49.4,30.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Multiracial,South Carolina,0,28.2,0,39.8,16.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Other Race,South Carolina,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Rural,South Carolina,0,22.8,0,30,15.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Some College,South Carolina,18,20.4,-0.1,24,16.8,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Suburban,South Carolina,0,11.1,0,14.9,7.4,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - Urban,South Carolina,0,17.1,0,23.4,10.9,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women - White,South Carolina,32,20.6,0.16,23,18.2,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women Aged 18-24,South Carolina,0,13.9,0,17.3,10.5,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women Aged 25-34,South Carolina,28,20.9,0.59,23.9,17.9,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Smoking - Women Aged 35-44,South Carolina,29,19,0.44,21.7,16.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Substance Use Disorder-Youth,South Carolina,14,4.3,-0.31,5.4,3.4,"SAMHSA, National Survey on Drug Use and Health (NSDUH)",2015-2016
2018,2018 HWC,Supportive Neighborhoods,South Carolina,24,57.5,0.58,,,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2016
2018,2018 HWC,Teen Births,South Carolina,35,26.2,0.53,,,"CDC, National Vital Statistics System",2015
2018,2018 HWC,Teen Suicide,South Carolina,15,9.4,0.08,11.6,7.6,"CDC, National Vital Statistics System",2014-2016
2018,2018 HWC,Teen Suicide - American Indian/Alaska Native,South Carolina,,,,,,AHR data,
2018,2018 HWC,Teen Suicide - Asian/Pacific Islander,South Carolina,,,,,,AHR data,
2018,2018 HWC,Teen Suicide - Black,South Carolina,,,,8.4,2.9,"CDC, National Vital Statistics System",2014-2016
2018,2018 HWC,Teen Suicide - Female,South Carolina,,,,5.1,1.7,"CDC, National Vital Statistics System",2014-2016
2018,2018 HWC,Teen Suicide - Hispanic,South Carolina,,,,,,"CDC, National Vital Statistics System",2014-2016
2018,2018 HWC,Teen Suicide - Male,South Carolina,,15.4,,19.4,12.2,"CDC, National Vital Statistics System",2014-2016
2018,2018 HWC,Teen Suicide - White,South Carolina,,11.8,,14.8,9.2,"CDC, National Vital Statistics System",2014-2016
2018,2018 HWC,Tobacco Use During Pregnancy,South Carolina,21,9.8,0.43,,,"CDC, National Vital Statistics System",2015
2018,2018 HWC,Tobacco Use-Youth,South Carolina,34,7.4,0.94,9.1,5.9,"SAMHSA, National Survey on Drug Use and Health (NSDUH)",2015-2016
2018,2018 HWC,Uninsured Women,South Carolina,39,14.5,0.49,16,13,"U.S. Census Bureau, American Community Survey",2016
2018,2018 HWC,Water Fluoridation,South Carolina,9,93.6,0.84,,,"CDC, Water Fluoridation Reporting System",2014
2018,2018 HWC,Well-Baby Check,South Carolina,31,91.4,0.19,97.4,85.4,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2016
2018,2018 HWC,Well-Woman Visit,South Carolina,38,61.7,-0.92,64,59.5,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Well-Woman Visit - $25-$49,999",South Carolina,40,57.9,-1,62.9,52.8,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Well-Woman Visit - $75,000 or More",South Carolina,36,68.1,-0.64,73,63.2,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,"Well-Woman Visit - 50-$74,999",South Carolina,36,63.1,-0.67,69.7,56.5,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Well-Woman Visit - Aged 18-24,South Carolina,44,58.4,-1.09,63.4,53.4,AHR data,
2018,2018 HWC,Well-Woman Visit - Aged 25-34,South Carolina,46,56.8,-1.43,60.5,53.1,AHR data,
2018,2018 HWC,Well-Woman Visit - Aged 35-44,South Carolina,26,69.2,-0.04,72.4,66.1,AHR data,
2018,2018 HWC,Well-Woman Visit - American Indian/Alaskan Native,South Carolina,0,,0,66,12.8,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Well-Woman Visit - Asian,South Carolina,0,,0,66.7,24.8,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Well-Woman Visit - Black,South Carolina,0,72.1,0,75.5,68.7,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Well-Woman Visit - College Grad,South Carolina,44,63.3,-1.34,67.1,59.4,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Well-Woman Visit - Hawaiian/Pacific Islander,South Carolina,0,,0,95.9,0,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Well-Woman Visit - High School Grad,South Carolina,23,64.3,-0.2,69.1,59.6,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
